,Freq,Genes
LRP5L,2,LRP5L
LRPAP1,2,LRPAP1
LRRC14,2,LRRC14
LRRC19,2,LRRC19
LRRC20,2,LRRC20
LRRC34,2,LRRC34
LRRC37A,2,LRRC37A
LRRC61,2,LRRC61
LRRC75B,2,LRRC75B
LRRC8A,2,LRRC8A
LRRC8E,2,LRRC8E
LSM10,2,LSM10
LSR,2,LSR
LTA,2,LTA
LTA4H,2,LTA4H
LTV1,2,LTV1
LURAP1L,2,LURAP1L
LY6G5B,2,LY6G5B
LY75-CD302,2,LY75-CD302
LYG1,2,LYG1
LYG2,2,LYG2
LYPD3,2,LYPD3
LYPLAL1,2,LYPLAL1
LYRM4,2,LYRM4
LYRM7,2,LYRM7
LZTFL1,2,LZTFL1
MACROD1,2,MACROD1
MAD2L1,2,MAD2L1
MAD2L2,2,MAD2L2
MAGOHB,2,MAGOHB
MAK16,2,MAK16
MAL,2,MAL
MAN1A1,2,MAN1A1
MAN1C1,2,MAN1C1
MAP1LC3B,2,MAP1LC3B
MAP1LC3B2,2,MAP1LC3B2
MAP3K6,2,MAP3K6
MAPK15,2,MAPK15
MAPK6,2,MAPK6
MARC1,2,MARC1
MARC2,2,MARC2
MARCH2,2,MARCH2
MARCKS,2,MARCKS
MARS,2,MARS
MBD3,2,MBD3
MBNL2,2,MBNL2
MBP,2,MBP
MC1R,2,MC1R
MC4R,2,MC4R
MCEE,2,MCEE
MCEMP1,2,MCEMP1
MCFD2,2,MCFD2
MCL1,2,MCL1
MCM8,2,MCM8
MCM9,2,MCM9
MCUR1,2,MCUR1
MDH2,2,MDH2
MEAF6,2,MEAF6
MECR,2,MECR
MED20,2,MED20
MED21,2,MED21
MED30,2,MED30
MEIOB,2,MEIOB
METAP1,2,METAP1
METAP2,2,METAP2
METTL1,2,METTL1
METTL12,2,METTL12
METTL20,2,METTL20
METTL21B,2,METTL21B
METTL9,2,METTL9
MFNG,2,MFNG
MGAT2,2,MGAT2
MGAT4A,2,MGAT4A
MGLL,2,MGLL
MGMT,2,MGMT
MGST1,2,MGST1
MGST2,2,MGST2
MICAL1,2,MICAL1
MICB,2,MICB
MICU2,2,MICU2
MID1IP1,2,MID1IP1
MIER1,2,MIER1
MIF4GD,2,MIF4GD
MINPP1,2,MINPP1
MIOX,2,MIOX
MIP,2,MIP
MIS18A,2,MIS18A
MKRN2,2,MKRN2
MKX,2,MKX
MLPH,2,MLPH
MLST8,2,MLST8
MLYCD,2,MLYCD
MMADHC,2,MMADHC
MMGT1,2,MMGT1
MMP14,2,MMP14
MND1,2,MND1
MNS1,2,MNS1
MOAP1,2,MOAP1
MOB4,2,MOB4
MOCS1,2,MOCS1
MORN3,2,MORN3
MOSPD1,2,MOSPD1
MOSPD3,2,MOSPD3
MPI,2,MPI
MPPE1,2,MPPE1
MPZL1,2,MPZL1
MPZL3,2,MPZL3
MR1,2,MR1
MRI1,2,MRI1
MRPL10,2,MRPL10
MRPL2,2,MRPL2
MRPL21,2,MRPL21
MRPL22,2,MRPL22
MRPL28,2,MRPL28
MRPL35,2,MRPL35
MRPL44,2,MRPL44
MRPL49,2,MRPL49
MRPL50,2,MRPL50
MRPL57,2,MRPL57
MRPS12,2,MRPS12
MRPS14,2,MRPS14
MRPS17,2,MRPS17
MRPS18B,2,MRPS18B
MRPS2,2,MRPS2
MRPS21,2,MRPS21
MS4A15,2,MS4A15
MSANTD3-TMEFF1,2,MSANTD3-TMEFF1
MSANTD4,2,MSANTD4
MSMO1,2,MSMO1
MSRB3,2,MSRB3
MST1,2,MST1
MSX1,2,MSX1
MT1H,2,MT1H
MT1M,2,MT1M
MTCH1,2,MTCH1
MTCH2,2,MTCH2
MTERF1,2,MTERF1
MTERF2,2,MTERF2
MTFR1L,2,MTFR1L
MTFR2,2,MTFR2
MTHFD2,2,MTHFD2
MTMR2,2,MTMR2
MTSS1L,2,MTSS1L
MUL1,2,MUL1
MVB12A,2,MVB12A
MXI1,2,MXI1
MYBPHL,2,MYBPHL
MYD88,2,MYD88
MYL4,2,MYL4
MYL5,2,MYL5
MYLPF,2,MYLPF
MYOG,2,MYOG
MYPOP,2,MYPOP
MYZAP,2,MYZAP
MZT1,2,MZT1
NAA35,2,NAA35
NAA60,2,NAA60
NABP1,2,NABP1
NACA,2,NACA
NADK2,2,NADK2
NAGA,2,NAGA
NAGLU,2,NAGLU
NAGS,2,NAGS
NANOS1,2,NANOS1
NAP1L4,2,NAP1L4
NAP1L5,2,NAP1L5
NAPRT,2,NAPRT
NAPSA,2,NAPSA
NARFL,2,NARFL
NBL1,2,NBL1
NBPF19,2,NBPF19
NCBP2,2,NCBP2
NCEH1,2,NCEH1
NCK1,2,NCK1
NDEL1,2,NDEL1
NDOR1,2,NDOR1
NDRG1,2,NDRG1
NDUFA1,2,NDUFA1
NDUFAF5,2,NDUFAF5
NDUFAF7,2,NDUFAF7
NDUFB9,2,NDUFB9
NDUFC2,2,NDUFC2
NDUFS3,2,NDUFS3
NDUFS7,2,NDUFS7
NDUFS8,2,NDUFS8
NEDD8,2,NEDD8
NEIL2,2,NEIL2
NEK3,2,NEK3
NEK7,2,NEK7
NELFA,2,NELFA
NEMF,2,NEMF
NEU1,2,NEU1
NEUROG1,2,NEUROG1
NFIL3,2,NFIL3
NFIX,2,NFIX
NFKBIA,2,NFKBIA
NFKBIB,2,NFKBIB
NFKBIL1,2,NFKBIL1
NFYB,2,NFYB
NGB,2,NGB
NHLRC1,2,NHLRC1
NHP2,2,NHP2
NIF3L1,2,NIF3L1
NIPA1,2,NIPA1
NIPAL2,2,NIPAL2
NKAIN4,2,NKAIN4
NKIRAS2,2,NKIRAS2
NKX2-4,2,NKX2-4
NLK,2,NLK
NME5,2,NME5
NME9,2,NME9
NMNAT1,2,NMNAT1
NMRK2,2,NMRK2
NMT2,2,NMT2
NOC3L,2,NOC3L
NOL10,2,NOL10
NOL12,2,NOL12
NOL4L,2,NOL4L
NOP58,2,NOP58
NOSIP,2,NOSIP
NOSTRIN,2,NOSTRIN
NOVA2,2,NOVA2
NPAS1,2,NPAS1
NPFFR1,2,NPFFR1
NPIPA1,2,NPIPA1
NPIPB15,2,NPIPB15
NPPA,2,NPPA
NPPB,2,NPPB
NPPC,2,NPPC
NPRL2,2,NPRL2
NPS,2,NPS
NPTN,2,NPTN
NPY,2,NPY
NPY4R,2,NPY4R
NR0B2,2,NR0B2
NR1H2,2,NR1H2
NR2C2,2,NR2C2
NR2F2,2,NR2F2
NR6A1,2,NR6A1
NRG2,2,NRG2
NRIP2,2,NRIP2
NRM,2,NRM
NSFL1C,2,NSFL1C
NSMCE2,2,NSMCE2
NSUN4,2,NSUN4
NSUN7,2,NSUN7
NT5M,2,NT5M
NTF4,2,NTF4
NUB1,2,NUB1
NUBP2,2,NUBP2
NUCB2,2,NUCB2
NUDC,2,NUDC
NUDT16,2,NUDT16
NUDT2,2,NUDT2
NUDT5,2,NUDT5
NUDT7,2,NUDT7
NUP88,2,NUP88
NUSAP1,2,NUSAP1
NUTM2A,2,NUTM2A
NXNL2,2,NXNL2
NXPH4,2,NXPH4
OARD1,2,OARD1
OBP2A,2,OBP2A
ODF2L,2,ODF2L
ODF3L1,2,ODF3L1
OGFOD3,2,OGFOD3
OGFR,2,OGFR
OGFRL1,2,OGFRL1
OGG1,2,OGG1
OLA1,2,OLA1
OLFML1,2,OLFML1
OLFML3,2,OLFML3
OMD,2,OMD
ONECUT1,2,ONECUT1
OPALIN,2,OPALIN
OR10G3,2,OR10G3
OR10H3,2,OR10H3
OR13J1,2,OR13J1
OR1G1,2,OR1G1
OR1I1,2,OR1I1
OR2A1,2,OR2A1
OR2A4,2,OR2A4
OR2AT4,2,OR2AT4
OR2K2,2,OR2K2
OR2Y1,2,OR2Y1
OR3A3,2,OR3A3
OR4F21,2,OR4F21
OR52H1,2,OR52H1
OR52W1,2,OR52W1
OR5AU1,2,OR5AU1
OR6C3,2,OR6C3
OR6C65,2,OR6C65
OR6C70,2,OR6C70
OR7D2,2,OR7D2
OR9I1,2,OR9I1
ORAOV1,2,ORAOV1
ORC3,2,ORC3
ORC6,2,ORC6
OSBP2,2,OSBP2
OSCAR,2,OSCAR
OSER1,2,OSER1
OSGEPL1,2,OSGEPL1
OTOR,2,OTOR
OTUD5,2,OTUD5
OTUD6B,2,OTUD6B
OXA1L,2,OXA1L
OXNAD1,2,OXNAD1
OXSM,2,OXSM
P2RY6,2,P2RY6
PABPC1,2,PABPC1
PACSIN2,2,PACSIN2
PAEP,2,PAEP
PAFAH1B2,2,PAFAH1B2
PAFAH2,2,PAFAH2
PAGE2,2,PAGE2
PAGE3,2,PAGE3
PAGE4,2,PAGE4
PAK2,2,PAK2
PALMD,2,PALMD
PARD6B,2,PARD6B
PARVA,2,PARVA
PARVB,2,PARVB
PAWR,2,PAWR
PAX9,2,PAX9
PCED1A,2,PCED1A
PCED1B,2,PCED1B
PCGF2,2,PCGF2
PCGF3,2,PCGF3
PCID2,2,PCID2
PCK2,2,PCK2
PCMT1,2,PCMT1
PCNP,2,PCNP
PCYT1A,2,PCYT1A
PCYT1B,2,PCYT1B
PDAP1,2,PDAP1
PDCD1LG2,2,PDCD1LG2
PDCD2,2,PDCD2
PDCD7,2,PDCD7
PDDC1,2,PDDC1
PDE7A,2,PDE7A
PDE8A,2,PDE8A
PDGFA,2,PDGFA
PDK2,2,PDK2
PDLIM2,2,PDLIM2
PDP1,2,PDP1
PDPK1,2,PDPK1
PDXK,2,PDXK
PDZD7,2,PDZD7
PECR,2,PECR
PEMT,2,PEMT
PENK,2,PENK
PEPD,2,PEPD
PEX13,2,PEX13
PEX5,2,PEX5
PF4V1,2,PF4V1
PFKFB2,2,PFKFB2
PFKFB4,2,PFKFB4
PGA3,2,PGA3
PGA5,2,PGA5
PGAM5,2,PGAM5
PGAP2,2,PGAP2
PGBD4,2,PGBD4
PGLYRP1,2,PGLYRP1
PHACTR2,2,PHACTR2
PHC1,2,PHC1
PHF23,2,PHF23
PHPT1,2,PHPT1
PI4K2A,2,PI4K2A
PIANP,2,PIANP
PICALM,2,PICALM
PIGC,2,PIGC
PIGL,2,PIGL
PIH1D2,2,PIH1D2
PINK1,2,PINK1
PIP4K2B,2,PIP4K2B
PIP5KL1,2,PIP5KL1
PIPOX,2,PIPOX
PITHD1,2,PITHD1
PITX3,2,PITX3
PKDCC,2,PKDCC
PKIB,2,PKIB
PKMYT1,2,PKMYT1
PLA2G12B,2,PLA2G12B
PLA2G15,2,PLA2G15
PLA2G1B,2,PLA2G1B
PLA2G2E,2,PLA2G2E
PLA2G2F,2,PLA2G2F
PLA2G4E,2,PLA2G4E
PLAC1,2,PLAC1
PLAC8L1,2,PLAC8L1
PLAUR,2,PLAUR
PLCD1,2,PLCD1
PLEK2,2,PLEK2
PLEKHA3,2,PLEKHA3
PLEKHF1,2,PLEKHF1
PLEKHF2,2,PLEKHF2
PLEKHN1,2,PLEKHN1
PLEKHO2,2,PLEKHO2
PLGRKT,2,PLGRKT
PLRG1,2,PLRG1
PLSCR2,2,PLSCR2
PMF1,2,PMF1
PNKD,2,PNKD
PNKP,2,PNKP
PNMA1,2,PNMA1
POC1B,2,POC1B
POGLUT1,2,POGLUT1
POLDIP2,2,POLDIP2
POLE2,2,POLE2
POLG2,2,POLG2
POLH,2,POLH
POLR1E,2,POLR1E
POLR2D,2,POLR2D
POLR2E,2,POLR2E
POLR2H,2,POLR2H
POLR2M,2,POLR2M
POLR3K,2,POLR3K
POMGNT2,2,POMGNT2
POMP,2,POMP
POMT1,2,POMT1
PON2,2,PON2
POR,2,POR
POU3F1,2,POU3F1
POU4F3,2,POU4F3
PPAP2A,2,PPAP2A
PPAP2B,2,PPAP2B
PPAPDC3,2,PPAPDC3
PPBP,2,PPBP
PPDPF,2,PPDPF
PPIE,2,PPIE
PPIH,2,PPIH
PPM1J,2,PPM1J
PPM1N,2,PPM1N
PPP1CA,2,PPP1CA
PPP1R12C,2,PPP1R12C
PPP1R1A,2,PPP1R1A
PPP1R3C,2,PPP1R3C
PPP1R42,2,PPP1R42
PPP1R9B,2,PPP1R9B
PPP2CB,2,PPP2CB
PPP3CB,2,PPP3CB
PPP3CC,2,PPP3CC
PPWD1,2,PPWD1
PPY,2,PPY
PQLC3,2,PQLC3
PRB2,2,PRB2
PRCC,2,PRCC
PRDM12,2,PRDM12
PRDX2,2,PRDX2
PRDX4,2,PRDX4
PREP,2,PREP
PRG3,2,PRG3
PRH2,2,PRH2
PRIM1,2,PRIM1
PRIM2,2,PRIM2
PRKAR1B,2,PRKAR1B
PRKAR2B,2,PRKAR2B
PRKCSH,2,PRKCSH
PRM2,2,PRM2
PRMT1,2,PRMT1
PRND,2,PRND
PROK1,2,PROK1
PROP1,2,PROP1
PROSC,2,PROSC
PROZ,2,PROZ
PRPF18,2,PRPF18
PRPF39,2,PRPF39
PRPF4,2,PRPF4
PRPH2,2,PRPH2
PRPS1,2,PRPS1
PRPSAP1,2,PRPSAP1
PRR15L,2,PRR15L
PRR21,2,PRR21
PRR35,2,PRR35
PRR4,2,PRR4
PRR5,2,PRR5
PRRG4,2,PRRG4
PRRX2,2,PRRX2
PRSS33,2,PRSS33
PRSS48,2,PRSS48
PSKH1,2,PSKH1
PSMA4,2,PSMA4
PSMA6,2,PSMA6
PSMA7,2,PSMA7
PSMB1,2,PSMB1
PSMC3IP,2,PSMC3IP
PSMC5,2,PSMC5
PSMD2,2,PSMD2
PSMD4,2,PSMD4
PSME1,2,PSME1
PSME2,2,PSME2
PSMG2,2,PSMG2
PSTPIP2,2,PSTPIP2
PTBP3,2,PTBP3
PTGDS,2,PTGDS
PTGES3L-AARSD1,2,PTGES3L-AARSD1
PTGR2,2,PTGR2
PTOV1,2,PTOV1
PTP4A3,2,PTP4A3
PTPN1,2,PTPN1
PTRF,2,PTRF
PTRH1,2,PTRH1
PTRHD1,2,PTRHD1
PTTG1IP,2,PTTG1IP
PTX3,2,PTX3
PUF60,2,PUF60
PURB,2,PURB
PUS1,2,PUS1
QPCT,2,QPCT
QRFPR,2,QRFPR
QTRTD1,2,QTRTD1
RAB15,2,RAB15
RAB21,2,RAB21
RAB26,2,RAB26
RAB29,2,RAB29
RAB33A,2,RAB33A
RAB34,2,RAB34
RAB38,2,RAB38
RAB39A,2,RAB39A
RAB40A,2,RAB40A
RAB40B,2,RAB40B
RAB5A,2,RAB5A
RAD23B,2,RAD23B
RAD9A,2,RAD9A
RAE1,2,RAE1
RALB,2,RALB
RAMP2,2,RAMP2
RANGAP1,2,RANGAP1
RANGRF,2,RANGRF
RAP1A,2,RAP1A
RARB,2,RARB
RARG,2,RARG
RASL11A,2,RASL11A
RASL11B,2,RASL11B
RASSF1,2,RASSF1
RASSF4,2,RASSF4
RASSF7,2,RASSF7
RAX,2,RAX
RBBP5,2,RBBP5
RBBP9,2,RBBP9
RBM11,2,RBM11
RBM18,2,RBM18
RBM22,2,RBM22
RBM23,2,RBM23
RBM42,2,RBM42
RBM7,2,RBM7
RBM8A,2,RBM8A
RBMS3,2,RBMS3
RBMX2,2,RBMX2
RCAN1,2,RCAN1
RCBTB1,2,RCBTB1
RCC1,2,RCC1
RDH10,2,RDH10
RDH5,2,RDH5
REC114,2,REC114
REEP2,2,REEP2
REEP3,2,REEP3
REEP4,2,REEP4
RELA,2,RELA
RELB,2,RELB
RELL2,2,RELL2
REPS1,2,REPS1
RERG,2,RERG
RETNLB,2,RETNLB
RFC3,2,RFC3
RFC5,2,RFC5
RFESD,2,RFESD
RGL2,2,RGL2
RGR,2,RGR
RGS10,2,RGS10
RGS11,2,RGS11
RGS16,2,RGS16
RGS19,2,RGS19
RHBDL2,2,RHBDL2
RHBDL3,2,RHBDL3
RHCE,2,RHCE
RHOB,2,RHOB
RHOD,2,RHOD
RHOG,2,RHOG
RHOT2,2,RHOT2
RHOU,2,RHOU
RHPN1,2,RHPN1
RIC8A,2,RIC8A
RIC8B,2,RIC8B
RILPL1,2,RILPL1
RIMBP3,2,RIMBP3
RIMKLA,2,RIMKLA
RIMKLB,2,RIMKLB
RITA1,2,RITA1
RLBP1,2,RLBP1
RMDN3,2,RMDN3
RNASE13,2,RNASE13
RNASE9,2,RNASE9
RNASEH2A,2,RNASEH2A
RNASET2,2,RNASET2
RNF125,2,RNF125
RNF141,2,RNF141
RNF145,2,RNF145
RNF151,2,RNF151
RNF168,2,RNF168
RNF175,2,RNF175
RNF182,2,RNF182
RNF185,2,RNF185
RNF207,2,RNF207
RNF25,2,RNF25
RNF39,2,RNF39
RNF41,2,RNF41
RNF44,2,RNF44
RNF5,2,RNF5
RNH1,2,RNH1
ROGDI,2,ROGDI
ROM1,2,ROM1
ROPN1,2,ROPN1
RP11-20I23.1,2,RP11-20I23.1
RP4-539M6.19,2,RP4-539M6.19
RP4-559A3.7,2,RP4-559A3.7
RPA1,2,RPA1
RPA2,2,RPA2
RPF1,2,RPF1
RPL26,2,RPL26
RPL28,2,RPL28
RPL30,2,RPL30
RPL37,2,RPL37
RPL7L1,2,RPL7L1
RPLP0,2,RPLP0
RPS3A,2,RPS3A
RPS4X,2,RPS4X
RPS4Y2,2,RPS4Y2
RPS5,2,RPS5
RPS6,2,RPS6
RPS6KB2,2,RPS6KB2
RPS7,2,RPS7
RPUSD3,2,RPUSD3
RRAD,2,RRAD
RRAS2,2,RRAS2
RRN3,2,RRN3
RRP36,2,RRP36
RSAD1,2,RSAD1
RSL1D1,2,RSL1D1
RSPH1,2,RSPH1
RSPH3,2,RSPH3
RSPO3,2,RSPO3
RSRC2,2,RSRC2
RSRP1,2,RSRP1
RTN4R,2,RTN4R
RUVBL2,2,RUVBL2
RXFP4,2,RXFP4
S100A7A,2,S100A7A
S100PBP,2,S100PBP
SAA2,2,SAA2
SALL2,2,SALL2
SAMD12,2,SAMD12
SAMD13,2,SAMD13
SAMM50,2,SAMM50
SAP30L,2,SAP30L
SAYSD1,2,SAYSD1
SBK2,2,SBK2
SCD,2,SCD
SCGB1A1,2,SCGB1A1
SCGB1D2,2,SCGB1D2
SCGB1D4,2,SCGB1D4
SCGB2A2,2,SCGB2A2
SCGN,2,SCGN
SCIMP,2,SCIMP
SCMH1,2,SCMH1
SCNM1,2,SCNM1
SCO2,2,SCO2
SCRN2,2,SCRN2
SDC1,2,SDC1
SDC3,2,SDC3
SDC4,2,SDC4
SDHAF3,2,SDHAF3
SDR16C5,2,SDR16C5
SEC13,2,SEC13
SEC61G,2,SEC61G
SELT,2,SELT
SEMA3B,2,SEMA3B
SENP1,2,SENP1
SEPHS2,2,SEPHS2
SEPSECS,2,SEPSECS
SEPT10,2,SEPT10
SEPT7,2,SEPT7
SEPT8,2,SEPT8
SERINC3,2,SERINC3
SERPIND1,2,SERPIND1
SERPINF1,2,SERPINF1
SERPINF2,2,SERPINF2
SETD7,2,SETD7
SFR1,2,SFR1
SFRP5,2,SFRP5
SFT2D2,2,SFT2D2
SFXN5,2,SFXN5
SGK494,2,SGK494
SGPL1,2,SGPL1
SGPP1,2,SGPP1
SGSH,2,SGSH
SGSM2,2,SGSM2
SGTA,2,SGTA
SH2D3A,2,SH2D3A
SH2D7,2,SH2D7
SH3BGRL2,2,SH3BGRL2
SH3BGRL3,2,SH3BGRL3
SHFM1,2,SHFM1
SHH,2,SHH
SHISA4,2,SHISA4
SHMT1,2,SHMT1
SHROOM1,2,SHROOM1
SIAH1,2,SIAH1
SIK3,2,SIK3
SIRT1,2,SIRT1
SIRT3,2,SIRT3
SIRT4,2,SIRT4
SIX5,2,SIX5
SKI,2,SKI
SLC10A4,2,SLC10A4
SLC15A4,2,SLC15A4
SLC16A12,2,SLC16A12
SLC16A13,2,SLC16A13
SLC16A2,2,SLC16A2
SLC18B1,2,SLC18B1
SLC22A13,2,SLC22A13
SLC23A1,2,SLC23A1
SLC25A25,2,SLC25A25
SLC25A26,2,SLC25A26
SLC25A3,2,SLC25A3
SLC25A30,2,SLC25A30
SLC25A33,2,SLC25A33
SLC25A35,2,SLC25A35
SLC25A39,2,SLC25A39
SLC25A45,2,SLC25A45
SLC25A48,2,SLC25A48
SLC25A6,2,SLC25A6
SLC27A2,2,SLC27A2
SLC29A3,2,SLC29A3
SLC2A11,2,SLC2A11
SLC2A4RG,2,SLC2A4RG
SLC30A1,2,SLC30A1
SLC30A2,2,SLC30A2
SLC33A1,2,SLC33A1
SLC35C2,2,SLC35C2
SLC38A2,2,SLC38A2
SLC38A3,2,SLC38A3
SLC38A9,2,SLC38A9
SLC39A14,2,SLC39A14
SLC39A2,2,SLC39A2
SLC39A8,2,SLC39A8
SLC41A2,2,SLC41A2
SLC43A3,2,SLC43A3
SLC46A2,2,SLC46A2
SLC47A1,2,SLC47A1
SLC50A1,2,SLC50A1
SLC5A3,2,SLC5A3
SLC7A6,2,SLC7A6
SLMO1,2,SLMO1
SLMO2,2,SLMO2
SMAD6,2,SMAD6
SMAP2,2,SMAP2
SMARCE1,2,SMARCE1
SMEK1,2,SMEK1
SMIM19,2,SMIM19
SMIM21,2,SMIM21
SMIM8,2,SMIM8
SMNDC1,2,SMNDC1
SMOX,2,SMOX
SMPD1,2,SMPD1
SNAP29,2,SNAP29
SNAPC1,2,SNAPC1
SNRNP70,2,SNRNP70
SNRPA,2,SNRPA
SNRPD3,2,SNRPD3
SNTA1,2,SNTA1
SNUPN,2,SNUPN
SNX11,2,SNX11
SNX16,2,SNX16
SNX20,2,SNX20
SNX30,2,SNX30
SOAT2,2,SOAT2
SOCS7,2,SOCS7
SOWAHA,2,SOWAHA
SOWAHC,2,SOWAHC
SOWAHD,2,SOWAHD
SOX21,2,SOX21
SPAG8,2,SPAG8
SPANXB1,2,SPANXB1
SPANXN2,2,SPANXN2
SPATA2L,2,SPATA2L
SPATA32,2,SPATA32
SPATA4,2,SPATA4
SPATA5L1,2,SPATA5L1
SPATA9,2,SPATA9
SPATS2L,2,SPATS2L
SPC25,2,SPC25
SPDYE5,2,SPDYE5
SPIN1,2,SPIN1
SPIN2A,2,SPIN2A
SPIN3,2,SPIN3
SPOCK2,2,SPOCK2
SPPL2B,2,SPPL2B
SPPL3,2,SPPL3
SPRR2F,2,SPRR2F
SPRY1,2,SPRY1
SPRYD4,2,SPRYD4
SPRYD7,2,SPRYD7
SPTSSA,2,SPTSSA
SQRDL,2,SQRDL
SRD5A3,2,SRD5A3
SRFBP1,2,SRFBP1
SRPRB,2,SRPRB
SRSF1,2,SRSF1
SRSF5,2,SRSF5
SRSF7,2,SRSF7
SSB,2,SSB
SSBP3,2,SSBP3
SST,2,SST
SSU72,2,SSU72
ST13,2,ST13
ST3GAL1,2,ST3GAL1
STAMBPL1,2,STAMBPL1
STARD4,2,STARD4
STAT6,2,STAT6
STATH,2,STATH
STK24,2,STK24
STK32A,2,STK32A
STK38,2,STK38
STK38L,2,STK38L
STK40,2,STK40
STMN2,2,STMN2
STMN3,2,STMN3
STOM,2,STOM
STOML1,2,STOML1
STOX2,2,STOX2
STPG1,2,STPG1
STRADB,2,STRADB
STT3B,2,STT3B
STX19,2,STX19
STX1B,2,STX1B
STX5,2,STX5
STX8,2,STX8
SUCLG2,2,SUCLG2
SULT1C4,2,SULT1C4
SULT2B1,2,SULT2B1
SUMF1,2,SUMF1
SUMO1,2,SUMO1
SUPV3L1,2,SUPV3L1
SURF4,2,SURF4
SUV39H1,2,SUV39H1
SYDE1,2,SYDE1
SYNE4,2,SYNE4
SYNGR4,2,SYNGR4
SYNPO,2,SYNPO
SYPL1,2,SYPL1
SYT12,2,SYT12
SYT17,2,SYT17
SYTL3,2,SYTL3
SYVN1,2,SYVN1
TACR2,2,TACR2
TACSTD2,2,TACSTD2
TADA2A,2,TADA2A
TADA2B,2,TADA2B
TAF1B,2,TAF1B
TAF6,2,TAF6
TAF6L,2,TAF6L
TAF9,2,TAF9
TAGLN3,2,TAGLN3
TAMM41,2,TAMM41
TARDBP,2,TARDBP
TAS2R10,2,TAS2R10
TAS2R3,2,TAS2R3
TAS2R4,2,TAS2R4
TAS2R9,2,TAS2R9
TBC1D10B,2,TBC1D10B
TBC1D20,2,TBC1D20
TBC1D22B,2,TBC1D22B
TBC1D2B,2,TBC1D2B
TBCC,2,TBCC
TBCEL,2,TBCEL
TBKBP1,2,TBKBP1
TBP,2,TBP
TBPL1,2,TBPL1
TCEA1,2,TCEA1
TCEAL4,2,TCEAL4
TCEB1,2,TCEB1
TCEB3CL,2,TCEB3CL
TCF7L1,2,TCF7L1
TCHP,2,TCHP
TCIRG1,2,TCIRG1
TCP1,2,TCP1
TCP10L,2,TCP10L
TCP11L1,2,TCP11L1
TCTEX1D2,2,TCTEX1D2
TDGF1,2,TDGF1
TDP2,2,TDP2
TEAD2,2,TEAD2
TECR,2,TECR
TECTB,2,TECTB
TELO2,2,TELO2
TERF1,2,TERF1
TES,2,TES
TESC,2,TESC
TESK1,2,TESK1
TEX264,2,TEX264
TEX29,2,TEX29
TEX33,2,TEX33
TEX9,2,TEX9
TFAM,2,TFAM
TFAP4,2,TFAP4
TFB1M,2,TFB1M
TFEB,2,TFEB
TFPT,2,TFPT
TGFB1,2,TGFB1
THAP9,2,THAP9
THEM4,2,THEM4
THEM5,2,THEM5
THOC5,2,THOC5
TIGD2,2,TIGD2
TIGD5,2,TIGD5
TIMM17B,2,TIMM17B
TIMM8A,2,TIMM8A
TIMP2,2,TIMP2
TIPRL,2,TIPRL
TLX1,2,TLX1
TLX3,2,TLX3
TM4SF19,2,TM4SF19
TM7SF2,2,TM7SF2
TMCC1,2,TMCC1
TMCC2,2,TMCC2
TMEM102,2,TMEM102
TMEM105,2,TMEM105
TMEM106A,2,TMEM106A
TMEM108,2,TMEM108
TMEM110,2,TMEM110
TMEM116,2,TMEM116
TMEM120A,2,TMEM120A
TMEM138,2,TMEM138
TMEM139,2,TMEM139
TMEM164,2,TMEM164
TMEM179B,2,TMEM179B
TMEM181,2,TMEM181
TMEM182,2,TMEM182
TMEM184B,2,TMEM184B
TMEM184C,2,TMEM184C
TMEM209,2,TMEM209
TMEM215,2,TMEM215
TMEM217,2,TMEM217
TMEM223,2,TMEM223
TMEM231,2,TMEM231
TMEM244,2,TMEM244
TMEM259,2,TMEM259
TMEM26,2,TMEM26
TMEM31,2,TMEM31
TMEM33,2,TMEM33
TMEM39A,2,TMEM39A
TMEM41A,2,TMEM41A
TMEM55B,2,TMEM55B
TMEM56,2,TMEM56
TMEM57,2,TMEM57
TMEM62,2,TMEM62
TMEM64,2,TMEM64
TMEM68,2,TMEM68
TMOD1,2,TMOD1
TMOD2,2,TMOD2
TMPRSS4,2,TMPRSS4
TMPRSS5,2,TMPRSS5
TMUB1,2,TMUB1
TNF,2,TNF
TNFRSF12A,2,TNFRSF12A
TNFRSF13B,2,TNFRSF13B
TNFRSF1B,2,TNFRSF1B
TNFRSF21,2,TNFRSF21
TNFRSF4,2,TNFRSF4
TNFSF14,2,TNFSF14
TNFSF9,2,TNFSF9
TNIP1,2,TNIP1
TNNT1,2,TNNT1
TOMM34,2,TOMM34
TOR3A,2,TOR3A
TP53I3,2,TP53I3
TP53TG3D,2,TP53TG3D
TPD52L1,2,TPD52L1
TPGS2,2,TPGS2
TPM2,2,TPM2
TPM4,2,TPM4
TPPP,2,TPPP
TPST2,2,TPST2
TRA2B,2,TRA2B
TRABD,2,TRABD
TRADD,2,TRADD
TRAF3IP2,2,TRAF3IP2
TRAJ23,2,TRAJ23
TRAPPC6B,2,TRAPPC6B
TRAV12-1,2,TRAV12-1
TRAV12-2,2,TRAV12-2
TRAV14DV4,2,TRAV14DV4
TRAV16,2,TRAV16
TRAV2,2,TRAV2
TRAV20,2,TRAV20
TRAV24,2,TRAV24
TRAV29DV5,2,TRAV29DV5
TRAV30,2,TRAV30
TRAV6,2,TRAV6
TRAV8-1,2,TRAV8-1
